









Frequency of observations in the selected location(s).:
Number of taxa: 	262

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Green-backed Trogon	0.3333333	0.04	0.1538462	0.3684211	0.3333333	1.0	0.0869565	0.125	0.3333333	0.5	0.0909091	0.3333333	0.0	0.0	0.047619	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.1818182	0.0015	0.0015	0.0	0.0015	0.1428571	0.0	0.0	0.2222222	1.0	0.0	0.0	0.0	0.2	0.0	0.0	0.2	1.0	0.0	0.0	0.0	0.0015	
Amazonian Violaceous Trogon	0.1111111	0.0	0.0384615	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.1428571	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0015	1.0	0.1666667	0.0	0.0	0.0	
Collared Trogon	0.0	0.04	0.0	0.0	0.1666667	0.0	0.0434783	0.125	0.3333333	0.0	0.0909091	0.2222222	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0909091	0.2	0.0	0.0015	0.0	0.0	0.6666667	0.0909091	0.5555556	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Rufous Motmot	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Ringed Kingfisher	0.1111111	0.0	0.0384615	0.0526316	0.0	0.0	0.0869565	0.0	0.0	0.0	0.0	0.2222222	0.0	0.25	0.0952381	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0909091	0.0	0.0015	0.0015	0.5	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.037037	0.0	0.0	0.0	0.0	0.0	0.0	
Amazon Kingfisher	0.2222222	0.0	0.0	0.1052632	0.0	1.0	0.0	0.0	0.0	0.0	0.0909091	0.0	0.0	0.0	0.0952381	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0909091	0.0	0.0015	0.0	0.0	0.4285714	0.0	0.1818182	0.1111111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Green Kingfisher	0.0	0.0	0.0	0.0	0.0833333	0.0	0.0434783	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0909091	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
White-fronted Nunbird	0.0	0.0	0.0	0.0	0.0833333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Coppery-chested Jacamar	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1428571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Purplish Jacamar	0.0015	0.0	0.0769231	0.1052632	0.1666667	0.0	0.173913	0.0	0.0	0.0	0.2727273	0.2222222	0.0	0.0	0.047619	0.5	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.1818182	0.2	0.0015	0.5	0.0	0.2857143	0.3333333	0.0909091	0.2222222	0.0	0.0	0.0	0.0	0.2	0.0	0.1111111	0.0	0.0	0.0	0.0	0.0	0.0015	
