Rank,Species,wtd-rf,rfpc
245,Cinnamon-breasted Tody-Tyrant,0.019230769230769232,4.346692110579517
246,hermit sp.,0.019230769230769232,4.346692110579517
247,Rufous-browed Tyrannulet,0.019230769230769232,4.346692110579517
248,Uniform Antshrike,0.019230769230769232,4.346692110579517
249,Sharpe's Wren,0.019230769230769232,4.346692110579517
250,Ash-browed Spinetail,0.019230767307692305,4.346691675910305
251,Golden-headed Manakin,0.019230767307692305,4.346691675910305
252,White-crowned Manakin,0.019230767307692305,4.346691675910305
253,Dusky-throated Antshrike,0.019230767307692305,4.346691675910305
254,Eastern Woodhaunter,0.019230767307692305,4.346691675910305
255,Blackish Nightjar,0.019230767307692305,4.346691675910305
256,Yellow-breasted Antwren,0.019230767307692305,4.346691675910305
257,Lanceolated Monklet,0.019230767307692305,4.346691675910305
258,Blue Ground Dove,0.019230767307692305,4.346691675910305
259,Cliff Flycatcher,0.019230767307692305,4.346691675910305
260,Crimson-crested Woodpecker,0.019230767307692305,4.346691675910305
261,Red-eyed/Chivi Vireo,0.019230767307692305,4.346691675910305
262,Variegated Tinamou,0.019230761538461538,4.346690371902673
263,Bluish-gray Saltator,0.019230761538461538,4.346690371902673
264,Amazonian Umbrellabird,0.019230761538461538,4.346690371902673
265,Common Potoo,0.019230761538461538,4.346690371902673
266,Spangled Cotinga,0.019230761538461538,4.346690371902673
267,Short-tailed Swift,0.019230761538461538,4.346690371902673
268,Guira Tanager,0.019230761538461538,4.346690371902673
269,Sparkling Violetear,0.019230761538461538,4.346690371902673
270,Brown Violetear,0.019230761538461538,4.346690371902673
271,Swallow Tanager,0.019230761538461538,4.346690371902673
272,Mottle-backed Elaenia,0.019230761538461538,4.346690371902673
273,Great Tinamou,0.019230761538461538,4.346690371902673
274,Southern Emerald-Toucanet,0.019230761538461538,4.346690371902673
275,Chestnut-tipped Toucanet,0.019230761538461538,4.346690371902673
276,Hoatzin,0.019230761538461538,4.346690371902673
277,Montane Foliage-gleaner,0.019230761538461538,4.346690371902673
278,Ferruginous Pygmy-Owl,0.019230761538461538,4.346690371902673
279,White-throated Screech-Owl,0.019230761538461538,4.346690371902673
280,Golden-headed Quetzal,0.019230761538461538,4.346690371902673
281,Mountain Cacique,0.019230761538461538,4.346690371902673
